gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
ALB,0,0.022803,0,0,0,0,0,0,0,0,0,2.551133,0,0
LOC101113601,553.831726,293.419769,99.012482,157.380737,374.30896,600.514404,1015.106995,3117.81543,5918.834961,4181.563965,5694.266113,5820.856445,8542.365234,22673.17773
LOC101102683,7908.171875,13137.3252,3319.655762,36460.89844,398.197449,539.345154,272.21759,77.038361,34.885757,103.944679,1132.680054,697.505066,4.055883,2.181545
LOC101102413,0,0,0.079072,0,0,0,0,0,0,0,26.546989,0.602498,0.050846,0
LOC101120204,0,0,0,0,0.194388,0,0,0,0,0,0.103179,0.467545,0,0
AHSG,28.638496,30.852167,28.038225,9.016043,131.365906,53.275936,82.462387,110.255318,61.550541,66.486458,143.823929,119.219017,156.227921,32.025936
LOC105601867,0,0,0,0,0,0,0,0,0,0,0.103018,0.438324,0,0.243295
FGB,1.715291,1.648105,2.091039,0.798882,0.739225,0.278234,0.181985,0.125111,0.093263,0.057913,0.432746,0.647163,0.259433,0.293588
KRT17,752.69458,923.050659,790.963623,291.640991,217.99469,628.423767,286.810333,2766.244385,2547.561279,899.538025,3588.24707,5249.46582,9355.833984,8215.350586
FGG,0.545116592,0,0.240885387,0.114358748,0.296279102,0.043861337,0.157064188,0.082815516,0.08874407,0,0,1.121956689,0,0
APOA2,0,0,0,0,0,0,0,0.262528,0,0,0,0.142186,0,0
PRD-SPRRII,0,0,0,0,0.105827,0.171195,0.598763,89.854317,25.792997,21.767254,7492.851562,6563.3125,740.83429,267.570282
ORM1,0,0.033956662,0,0,0,0,0,0,0,0,0.143138936,0.046907887,0,0
FGA,0,0,0,0.050145,0,0,0,0,0,0,0,0.276947,0,0
LOC101102714,33.99308,43.7682,10.457253,86.108467,16.553259,7.481658,66.730164,1749.361328,138.311859,785.774719,4155.706055,7928.78125,330.369873,242.546021
HPX,0.297129,0.412777,0.256647,0.280496,0.240912,0.503398,0.321601,0.064476,0.135498,0.103163,0.241517,0.637841,0,0
TTR,0,0,0,0,0,0,0,0,0,0,0.096967,0.436469,0,0
LOC101109132,3953.286133,4565.452637,4271.360352,3925.252686,4896.254883,4925.109375,5564.123047,4616.833984,4837.019531,3960.370605,1948.295654,1956.217285,4523.892578,5554.737793
KRT36,1.114379,0.998948,0.356562,0.498957,1.251469,3.039337,3.102091,171.394196,190.436722,67.308815,1051.711792,2373.949707,1666.160034,849.401611
FABP4,5.167922,6.307628,4.1892,9.922132,39.287903,4.052356,56.814194,2001.778076,2238.954346,2139.624023,1795.500732,1595.166016,4170.393066,3030.088379
C14H19orf33,503.15921,812.346497,417.126221,1678.28894,112.862778,71.987267,165.707794,191.051575,85.049911,149.760956,133.861618,193.572708,146.75531,78.196442
APOH,0.049159,0,0,0,0,0,0,0,0,0,0,0.271171,0,0
CYP2E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBP,0,0.150609,0.037279,0.863186,0,0,0,0,0,0,0.037629,0.368876,0,0
SERPINA1,21.1596955,45.28292359,32.76476767,7.214129501,30.71903265,29.28312308,8.6497712,1.796854705,0.393697141,1.992282494,0.302674562,1.461316483,0.437223297,0.035708026
SPARC,285.6911206,299.3137807,258.0060719,205.8610388,34.70287595,38.92874134,21.09830723,102.1030342,73.51205638,49.20047154,3259.320633,2701.389145,9.319598851,0.532819499
LOC101116248,0,0,0,0,0,0,0,0,0,0,0.087142,0.349086,0,0
GC,0,0,0,0,0,0,0,0,0,0,0,0.215954,0,0
TFF3,869.981995,746.499084,911.288269,1249.3125,439.679932,270.889191,402.968506,235.726791,308.341217,291.906952,0.113922,7.238808,0.724272,35.209885
VTN,0,0,0,0,0,0,0,0,0,0,0.025287,0.03898,0,0
TF,4.678152,4.101017,5.774974,3.275553,7.358768,7.880244,7.567753,9.776837,8.800829,8.744926,9.985034,11.044922,7.718729,6.438456
S100A2,5190.220989,6274.376955,5614.592916,7371.294595,3068.335271,2650.60245,2369.788945,3769.165135,3093.136558,3000.334272,894.7006348,1953.611556,2471.750993,3793.144306
SPP2,0,0,0,0,0,0,0,0,0,0,0,0.077465,0,0
APOC3,0,0,0,0,0,0,0,0.090078,0,0,0,0.454239,0,0
LOC101117184,3.377862,4.130888,1.699075,1.217521,3.412749,5.159795,0.707825,0.530286,1.38482,0.707374,2.021992,2.572493,3.379113,4.636957
LOC101115576,0,0,0,0,0,0,0,0,0,0,0.018497,0.137876,0,0
LOC101117112,0.068037,0.223225,1.008676,11.61895945,0.553613,0.222617,0.609751,55.31336997,108.7218753,131.8495665,108.3224982,206.3711969,13.74239795,32.48231479
C3,10.378417,5.079562,4.212626,5.813836,1.869205,1.386733,1.914914,3.011552,2.340311,3.682739,36.650467,38.320034,2.867838,7.037356
HMGCS2,1.540889,0.296592,0.70314,0.364748,10.504514,16.982798,36.778286,265.987885,342.187622,222.970673,635.926575,678.139526,2439.693359,1488.055664
LOC101106199,958.355713,172.404526,256.333862,1438.68396,1.350915,0,0,0,0,0,0,0,0,2.994833
CRP,0,0,0,0,0,0,0,0,0,0,0,0.077813,0,0
RBP4,4.666544,4.649945,2.060449,5.145541,0.725578,1.329939,0.611204,5.300146,7.901333,4.589346,88.206741,46.516064,10.9803,21.258894
EGR1,1475.190552,1440.63147,1330.719727,512.814636,1395.22168,2172.452393,924.557373,390.863892,636.509583,668.139038,18.392673,10.39497,872.178955,640.805847
DLK1,59.999218,65.811935,61.271824,41.222187,12.884069,43.951572,21.430035,2.027596,0.273812,0,162.547943,211.488541,0.596857,0
LECT2,0,0,0.055341,0,0,0,0,0,0,0,0,0,0,0
F2,0.022516,0,0.011309,0.135983,0.052298,0,0,0,0,0.053352,0.012228,0.02817,0,0.062994
LOC105613035,2.082963,0.836174,0.41741,3.287192,0.127239,0.139328,2.742767,6.382339,2.298743,3.308713,522.64978,557.514771,51.176804,17.88625
