RSCNE	TF(tsys)->TG(gsys)	E_E60	E_D1	E_D7	E_D28	E_Y1	R_E60	R_D1	R_D7	R_D28	R_Y1
Chr3:132056494-198	HOXC8(gastrointestinal)->HOXC5(gastrointestinal)	664.267606	131.4508812	604.6831967	110.398701	892.7770725	40914.80263	27776.39749	27853.33429	12379.11423	7623.467713
Chr3:132056494-198	HOXC8(gastrointestinal)->HOXC6(gastrointestinal)	573.1754882	106.9366923	541.3096397	97.12881427	722.6105404	64758.24647	42873.65111	44620.51659	27075.18104	18882.99848
Chr3:132056494-198	HOXC8(gastrointestinal)->HOXC8(gastrointestinal)	138.0379883	10.55896252	128.8440915	11.70592786	546.7120661	33439.99408	28483.56957	33353.21324	19157.45754	12912.21473
Chr10:69396587-149	HOXC8(gastrointestinal)->SOX21(gastrointestinal&integumentary&reproductive)	156.6366912	45.44199508	165.3908999	25.83512637	1118.635167	5114.306183	7229.747823	9283.10206	5696.386762	6292.228696
Chr15:28212892-112	HOXC8(gastrointestinal)->TMPRSS13(gastrointestinal)	2249.679754	384.5030527	2172.898937	214.5277127	4214.5689	20586.68913	23820.73636	17401.08479	22297.73879	18056.5832
Chr3:132138427-427	OTX1(nervous)->HOXC5(gastrointestinal)	588.2853358	488.265615	706.4823401	388.1861292	1269.268893	5195.012025	4847.372214	5002.181905	1484.274084	1095.800983
Chr14:55311873-135	OTX1(nervous)->NTF4(integumentary)	655.5965839	470.9210587	373.9430801	98.00487498	1208.542994	2988.985829	1741.738944	1691.018696	740.2676663	1144.880282
Chr3:132138427-427	OTX1(nervous)->HOXC6(gastrointestinal)	499.817421	391.1093666	622.7274384	336.2814935	1011.564853	8096.177256	7367.154044	7890.339938	3196.500188	2672.568894
Chr1:182179168-107	OTX1(nervous)->UPK1B(reproductive)	6913.601095	3554.696153	1772.769332	1429.419489	5599.405818	59799.39352	10171.0406	16561.96146	5825.571874	746.0722291
Chr3:132138427-427	OTX1(nervous)->HOXC8(gastrointestinal)	118.2818583	37.94796196	145.6506698	39.82506213	752.0450136	4108.155344	4809.494515	5795.548418	2222.475462	1795.785369
Chr4:25948552-43	OTX1(nervous)->SOSTDC1(integumentary)	877.3433069	437.3102827	408.1882682	259.5145751	1611.06529	2819.234908	4069.964188	3439.842397	912.659875	397.5033632
Chr9:89316492-24	OTX1(nervous)->LOC101113860(gastrointestinal)	2051.296604	1261.480738	1196.330938	202.9627843	656.580779	3537.381362	6208.43407	5591.974923	2670.360106	1616.397746
Chr3:61554201-55	OTX1(nervous)->EDAR(integumentary)	697.293065	628.3877764	727.6142962	38.10190551	499.2012999	5792.323866	5333.378469	4674.565887	1401.847289	1450.379549
Chr19:56677546-190	OTX1(nervous)->PPARG(gastrointestinal&muscular)	521.0259585	181.0799131	248.6019471	268.9476101	1094.564148	3070.778031	2634.254669	2920.890845	1890.165986	2490.62054
Chr5:41776553-364	OTX1(nervous)->PCSK4(reproductive)	260.7831302	143.4894195	141.9169786	44.07596652	264.696656	1412.603314	938.9976307	863.9670237	361.9444307	531.6043489
Chr23:44743806-694	OTX1(nervous)->SLC14A1(gastrointestinal)	160.6466377	125.6642029	62.54151453	19.98401766	46.07709928	398.6699135	871.9465742	2980.583019	1840.104374	2699.698566
Chr1:203061315-464	OTX1(nervous)->SOX2(gastrointestinal&nervous)	4738.865589	1683.92865	2540.407179	363.6121286	6040.473054	24841.23476	15612.01503	14459.47537	3866.702607	3520.255918
Chr6:67326231-352	OTX1(nervous)->CWH43(reproductive)	81.63295279	40.95765744	211.5887799	48.84983921	873.4056067	1083.481886	1451.6503	967.9276441	315.5627638	622.0651078
Chr7:76980313-720	OTX1(nervous)->PLEK2(gastrointestinal)	1291.487616	2116.884113	2436.919808	576.9799865	3013.604053	4350.735489	8381.151714	13816.50523	5346.34965	5836.55563
Chr3:131941816-491	PPARG(gastrointestinal&muscular)->HOXC8(gastrointestinal)	137.8200259	38.00833756	118.3607458	62.5750092	379.4450275	4419.204988	5578.46561	10086.54295	7107.34701	11907.80089
Chr3:131941816-491	PPARG(gastrointestinal&muscular)->HOXC6(gastrointestinal)	549.9599663	369.9253847	477.8798381	498.9682675	481.9747205	8224.372965	8069.387597	12967.88103	9653.188322	16735.22455
Chr17:52263719-123	PPARG(gastrointestinal&muscular)->WDR66(reproductive)	399.6671168	227.0550908	88.69146996	148.8551996	102.9714031	2763.286955	2627.310847	1204.019715	1457.233725	2788.997489
Chr1:202588557-455	PPARG(gastrointestinal&muscular)->SOX2(gastrointestinal&nervous)	6256.665029	1982.237135	2825.207831	1278.997204	2827.493439	44751.48026	33920.77839	30154.68118	21714.22861	26790.16812
Chr3:131941816-491	PPARG(gastrointestinal&muscular)->HOXC5(gastrointestinal)	606.6450042	432.8116813	508.0996919	539.804981	566.775516	4945.796709	4975.928255	7704.770363	4200.848935	6430.744211
Chr5:58024886-312	PPARG(gastrointestinal&muscular)->PDE6A(nervous)	159.344441	370.9401257	410.110815	835.8531403	542.1555823	415.3628542	569.5186828	3545.131936	3369.847075	5502.582982
Chr23:46578957-116	PPARG(gastrointestinal&muscular)->SLC14A1(gastrointestinal)	552.2303458	219.110689	153.4743027	306.0142278	56.89979798	2808.532121	4659.317698	10382.43936	11106.43354	22019.36658
